z_mm,normalized_temperature_rise
4.270000000000000462e+00,1.720947607176722127e-01
4.280000000000000249e+00,1.738033766707335892e-01
4.290000000000000036e+00,1.755239325495382141e-01
4.299999999999999822e+00,1.772564484146887664e-01
4.310000000000000497e+00,1.790009435200445032e-01
4.320000000000000284e+00,1.807574363029815223e-01
4.330000000000000071e+00,1.825259443746793109e-01
4.339999999999999858e+00,1.843064845104312455e-01
4.350000000000000533e+00,1.860990726399859019e-01
4.360000000000000320e+00,1.879037238379157315e-01
4.370000000000000995e+00,1.897204523140209043e-01
4.379999999999999893e+00,1.915492714037633493e-01
4.390000000000000568e+00,1.933901935587407084e-01
4.400000000000000355e+00,1.952432303371944289e-01
4.410000000000001030e+00,1.971083923945607941e-01
4.419999999999999929e+00,1.989856894740610060e-01
4.430000000000000604e+00,2.008751303973373425e-01
4.440000000000000391e+00,2.027767230551329181e-01
4.450000000000000178e+00,2.046904743980213492e-01
4.460000000000000853e+00,2.066163904271842433e-01
4.469999999999999751e+00,2.085544761852412277e-01
4.480000000000000426e+00,2.105047357471342695e-01
4.490000000000000213e+00,2.124671722110662575e-01
4.500000000000000888e+00,2.144417876894997854e-01
4.509999999999999787e+00,2.164285833002121684e-01
4.520000000000000462e+00,2.184275591574174613e-01
4.530000000000000249e+00,2.204387143629464862e-01
4.540000000000000924e+00,2.224620469974982750e-01
4.549999999999999822e+00,2.244975541119555995e-01
4.560000000000000497e+00,2.265452317187733045e-01
4.570000000000000284e+00,2.286050747834369179e-01
4.580000000000000959e+00,2.306770772159970895e-01
4.590000000000000746e+00,2.327612318626788024e-01
4.600000000000000533e+00,2.348575304975708267e-01
4.610000000000000320e+00,2.369659638143938318e-01
4.620000000000000107e+00,2.390865214183525711e-01
4.630000000000000782e+00,2.412191918180719152e-01
4.639999999999999680e+00,2.433639624176192062e-01
4.650000000000000355e+00,2.455208195086174550e-01
4.660000000000000142e+00,2.476897482624459412e-01
4.670000000000000817e+00,2.498707327225386798e-01
4.679999999999999716e+00,2.520637557967721487e-01
4.690000000000000391e+00,2.542687992499558236e-01
4.700000000000000178e+00,2.564858436964174149e-01
4.710000000000000853e+00,2.587148685926927150e-01
4.720000000000000639e+00,2.609558522303163097e-01
4.730000000000000426e+00,2.632087717287194817e-01
4.740000000000000213e+00,2.654736030282346948e-01
4.750000000000000888e+00,2.677503208832102688e-01
4.760000000000000675e+00,2.700388988552356873e-01
4.770000000000000462e+00,2.723393093064818138e-01
4.780000000000000249e+00,2.746515233931556277e-01
4.790000000000000036e+00,2.769755110590736980e-01
4.800000000000000711e+00,2.793112410293551173e-01
4.809999999999999609e+00,2.816586808042346735e-01
4.820000000000000284e+00,2.840177966530039733e-01
4.830000000000000071e+00,2.863885536080721383e-01
4.840000000000000746e+00,2.887709154591609484e-01
4.850000000000000533e+00,2.911648447476242740e-01
4.860000000000000320e+00,2.935703027609031235e-01
4.870000000000000107e+00,2.959872495271116954e-01
4.880000000000000782e+00,2.984156438097610442e-01
4.890000000000000568e+00,3.008554431026188580e-01
4.900000000000000355e+00,3.033066036247103470e-01
4.910000000000000142e+00,3.057690803154582970e-01
4.920000000000000817e+00,3.082428268299695628e-01
4.930000000000000604e+00,3.107277955344635023e-01
4.940000000000000391e+00,3.132239375018502914e-01
4.950000000000000178e+00,3.157312025074557327e-01
4.959999999999999964e+00,3.182495390248992750e-01
4.970000000000000639e+00,3.207788942221238560e-01
4.980000000000000426e+00,3.233192139575775670e-01
4.990000000000000213e+00,3.258704427765564127e-01
5.000000000000000000e+00,3.284325239077008907e-01
5.010000000000000675e+00,3.310053992596548866e-01
5.020000000000000462e+00,3.335890094178841081e-01
5.030000000000000249e+00,3.361832936416597195e-01
5.040000000000000036e+00,3.387881898612050136e-01
5.050000000000000711e+00,3.414036346750104478e-01
5.060000000000000497e+00,3.440295633473150483e-01
5.070000000000000284e+00,3.466659098057598976e-01
5.080000000000000071e+00,3.493126066392103213e-01
5.090000000000000746e+00,3.519695850957549332e-01
5.100000000000000533e+00,3.546367750808744335e-01
5.110000000000001208e+00,3.573141051557921499e-01
5.120000000000000107e+00,3.600015025359972753e-01
5.129999999999999893e+00,3.626988930899512353e-01
5.140000000000000568e+00,3.654062013379719698e-01
5.150000000000000355e+00,3.681233504513016785e-01
5.160000000000000142e+00,3.708502622513588642e-01
5.169999999999999929e+00,3.735868572091726736e-01
5.180000000000000604e+00,3.763330544450071424e-01
5.190000000000000391e+00,3.790887717281699598e-01
5.200000000000001066e+00,3.818539254770125235e-01
5.209999999999999964e+00,3.846284307591180673e-01
5.220000000000000639e+00,3.874122012916844660e-01
5.230000000000000426e+00,3.902051494420953892e-01
5.240000000000001101e+00,3.930071862286903528e-01
5.250000000000000000e+00,3.958182213217254497e-01
5.260000000000000675e+00,3.986381630445341440e-01
5.270000000000000462e+00,4.014669183748814651e-01
5.280000000000001137e+00,4.043043929465213182e-01
5.290000000000000036e+00,4.071504910509483599e-01
5.299999999999999822e+00,4.100051156393543783e-01
5.310000000000000497e+00,4.128681683247846790e-01
5.320000000000000284e+00,4.157395493844946999e-01
5.330000000000000959e+00,4.186191577625147375e-01
5.339999999999999858e+00,4.215068910724140694e-01
5.350000000000000533e+00,4.244026456002736869e-01
5.360000000000000320e+00,4.273063163078617555e-01
5.370000000000000995e+00,4.302177968360197946e-01
5.379999999999999893e+00,4.331369795082509744e-01
5.390000000000000568e+00,4.360637553345218520e-01
